date,close,open,high,low,volume
2021-10-29T00:00:00-04:00,15.89,12.84,18.04,12.84,5548487.0
2021-11-01T00:00:00-04:00,14.5,15.06,16.85,14.5,879049.0
2021-11-02T00:00:00-04:00,14.99,14.66,15.63,14.5,787623.0
2021-11-03T00:00:00-04:00,14.82,14.91,15.28,14.61,275326.0
2021-11-04T00:00:00-04:00,14.33,14.9,15.0,14.26,322017.0
2021-11-05T00:00:00-04:00,14.34,14.34,14.68,13.8348,262516.0
2021-11-08T00:00:00-05:00,14.99,14.44,15.9,14.38,460311.0
2021-11-09T00:00:00-05:00,14.71,14.99,15.0,14.45,118337.0
2021-11-10T00:00:00-05:00,15.35,14.82,15.84,14.68,325219.0
2021-11-11T00:00:00-05:00,15.06,15.51,15.51,14.7,208772.0
2021-11-12T00:00:00-05:00,15.17,15.02,15.24,14.37,337779.0
2021-11-15T00:00:00-05:00,16.59,15.17,16.95,14.96,658024.0
2021-11-16T00:00:00-05:00,16.17,16.59,17.52,16.06,486038.0
2021-11-17T00:00:00-05:00,16.87,16.47,16.9,15.72,340413.0
2021-11-18T00:00:00-05:00,15.18,17.0,17.2703,15.15,305590.0
2021-11-19T00:00:00-05:00,14.93,15.22,15.6999,14.7,163280.0
2021-11-22T00:00:00-05:00,13.61,14.94,15.827,13.26,291839.0
2021-11-23T00:00:00-05:00,13.95,13.9,14.44,13.15,349185.0
2021-11-24T00:00:00-05:00,14.02,14.03,14.14,13.32,114280.0
2021-11-26T00:00:00-05:00,12.05,13.67,14.25,12.0,521528.0
2021-11-29T00:00:00-05:00,11.9,12.7,12.8,11.25,643990.0
2021-11-30T00:00:00-05:00,11.3,11.73,11.785,10.75,597840.0
2021-12-01T00:00:00-05:00,10.22,11.58,11.79,10.17,534309.0
2021-12-02T00:00:00-05:00,10.46,10.51,11.08,9.83,472260.0
2021-12-03T00:00:00-05:00,10.72,11.21,12.03,10.44,1118718.0
2021-12-06T00:00:00-05:00,11.03,10.52,11.23,9.87,404177.0
2021-12-07T00:00:00-05:00,12.21,11.01,12.38,11.01,327560.0
2021-12-08T00:00:00-05:00,13.01,12.35,13.05,12.0,253485.0
2021-12-09T00:00:00-05:00,13.41,12.85,14.06,12.85,244270.0
2021-12-10T00:00:00-05:00,13.04,13.56,13.89,12.9,150356.0
2021-12-13T00:00:00-05:00,12.71,13.03,13.42,12.48,174418.0
2021-12-14T00:00:00-05:00,11.88,12.49,12.49,11.83,110882.0
2021-12-15T00:00:00-05:00,12.5,11.94,12.63,11.261,220698.0
2021-12-16T00:00:00-05:00,12.16,12.63,13.39,11.99,259749.0
2021-12-17T00:00:00-05:00,12.0,12.0,12.75,11.97,954984.0
2021-12-20T00:00:00-05:00,12.4,12.0,12.55,11.9,163281.0
2021-12-21T00:00:00-05:00,13.74,12.67,13.91,12.56,174102.0
2021-12-22T00:00:00-05:00,14.43,13.65,14.56,13.53,104405.0
2021-12-23T00:00:00-05:00,14.51,14.33,14.8,14.135,121646.0
2021-12-27T00:00:00-05:00,15.73,14.61,15.82,14.5,112657.0
2021-12-28T00:00:00-05:00,15.46,15.81,16.32,15.27,195239.0
2021-12-29T00:00:00-05:00,16.85,15.46,16.97,14.715,368938.0
2021-12-30T00:00:00-05:00,17.99,16.9,18.26,16.701,230463.0
2021-12-31T00:00:00-05:00,17.19,18.14,18.48,17.09,261236.0
2022-01-03T00:00:00-05:00,15.93,17.22,17.5376,15.73,225189.0
2022-01-04T00:00:00-05:00,15.91,16.0,16.0,15.02,120998.0
2022-01-05T00:00:00-05:00,15.24,15.92,16.48,15.15,89487.0
